name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Trolls,41,80455,3.661239872347456e-05,0.2578533105064434,0.3,0.0001381978993919,5,5,202,1,0
Alabama,67,1466501,1.09077889396636e-05,0.2045235962458941,0.0,2.763957987838585e-05,1,1,67,0,0
Blaque,46,507539,3.0293688365941565e-05,0.2577848117701568,0.1666666666666666,0.0001105583195135,4,4,133,0,0
Summer Hits,0,3580,7.635309929216697e-05,0.214754118800634,0.0151515151515151,0.0003316749585406,12,1,0,0,0
Gloria Estefan,64,813610,3.4493424286884126e-05,0.2045282564777679,0.0,8.291873963515754e-05,3,3,101,0,0
Joe,66,1966422,7.024291957104363e-05,0.2045352472237937,0.0,0.0001658374792703,6,6,153,0,0
Christmas Songs,0,5703,1.09077889396636e-05,0.2045235962458941,0.0,2.763957987838585e-05,1,1,0,0,0
Hansel,7,190,8.994073498951377e-05,0.2574631699699488,0.0363636363636363,0.0003040353786622,11,11,148,1,1
NakyMine,32,310,0.0001417641174856,0.2097741640364996,0.0263157894736842,0.0005527915975677,20,20,365,2,0
Alizée,53,222257,3.0511736668264506e-05,0.2046016831533134,0.0,8.291873963515754e-05,3,3,170,0,0
Najoua Belyzel,38,47176,1.6993716938633753e-05,0.2050047183291036,0.0,5.52791597567717e-05,2,2,83,0,0
Cassandre,8,1471,1.1046664550120317e-05,0.2045888588239003,0.0,2.763957987838585e-05,1,1,8,0,0
Go3 Hyungmin,8,30,1.1046664550120317e-05,0.2045888588239003,0.0,2.763957987838585e-05,1,1,8,0,0
Nyls,0,2023,3.49174041385106e-05,0.2045935220304014,0.0,8.291873963515754e-05,3,3,11,0,0
Debjyoti Khawas,2,58,1.650620916660154e-05,0.2054551853336034,0.0,5.52791597567717e-05,2,1,2,0,0
DRC STUDIOS,0,1,2.6731399024911924e-05,0.2571147086030134,0.3333333333333333,8.291873963515754e-05,3,3,0,0,0
Ezeqiel T,0,10,1.1046664550120317e-05,0.2045888588239003,0.0,2.763957987838585e-05,1,1,0,0,0
Artemas,80,956224,4.217301107776491e-05,0.2570870933356189,0.0,0.0001105583195135,4,5,172,1,1
Will Joseph Cook,43,86710,5.325275694848523e-05,0.2050702883653515,0.0,0.0001381978993919,5,6,337,1,0
clide,43,28279,2.525832572952267e-05,0.2043536430019647,0.0,5.52791597567717e-05,2,2,95,0,0
Kinda Moderate,6,412,6.218525276094325e-05,0.2043606218163559,0.0,0.0001381978993919,5,5,31,0,0
фрози,71,326979,0.0001147923961293,0.2107506023429648,0.0769230769230769,0.000359314538419,13,14,782,2,1
Tanishk Bagchi,78,4484857,0.0002205146395591,0.2119636718115544,0.0666666666666666,0.0008291873963515,30,27,1718,2,0
Tomo,63,34523,3.360143741481562e-05,0.1832415184578991,0.3333333333333333,0.0001105583195135,4,5,312,2,1
Tesher,57,152860,6.167701796543376e-05,0.2584491147481641,0.0476190476190476,0.0001934770591487,7,8,380,1,0
33nimb,47,1411,8.23494807282265e-05,0.1739610956140159,0.0,0.0001934770591487,7,8,143,1,0
Mwizz,62,7247,4.639106405394495e-05,0.2577829609580506,0.2666666666666666,0.0001658374792703,6,7,295,1,0
George Kipa,62,7790,3.752417875252755e-05,0.2577811101725207,0.4,0.0001381978993919,5,6,287,1,0
